id,category,query,raw_answer,corrected_answer,raw_unsupported_count,corrected_unsupported_count,raw_critical_unsupported_count,corrected_critical_unsupported_count,raw_support_ratio,corrected_support_ratio,hallucination_reduction,support_improvement,correction_success,unsafe_correction,no_change,malformed_correction,correction_status
supported_001,supported factual claims,What is retrieval-augmented generation?,Retrieval-Augmented Generation combines information retrieval with language generation.,Retrieval-Augmented Generation combines information retrieval with language generation.,0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_001,unsupported fabricated claims,What is retrieval-augmented generation?,Retrieval-Augmented Generation combines information retrieval with language generation. Retrieval-Augmented Generation is a vector database.,Retrieval-Augmented Generation combines information retrieval with language generation.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
wrong_entity_001,wrong entity claims,What is retrieval-augmented generation?,RAG was introduced by Omar Khattab and Matei Zaharia in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_001,wrong year/date claims,RAG was introduced in 2021.,RAG was introduced in 2021.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_001,unsupported numeric claims,What is retrieval-augmented generation?,Retrieval-Augmented Generation combines information retrieval with language generation. RAG requires exactly 100 retrieved passages for each answer.,Retrieval-Augmented Generation combines information retrieval with language generation.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_001,unsupported method claims,What is retrieval-augmented generation?,Retrieval-Augmented Generation combines information retrieval with language generation. RAG fine-tunes a generator model on retrieved passages for every query.,Retrieval-Augmented Generation combines information retrieval with language generation.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_001,unsupported benchmark claims,What is retrieval-augmented generation?,Retrieval-Augmented Generation combines information retrieval with language generation. RAG reports state-of-the-art results on an unsupported private benchmark.,Retrieval-Augmented Generation combines information retrieval with language generation.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_001,unsupported application/task claims,What is retrieval-augmented generation?,Retrieval-Augmented Generation combines information retrieval with language generation. RAG is proven for machine translation and sentiment analysis in this knowledge base.,Retrieval-Augmented Generation combines information retrieval with language generation.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_001,definition mismatch claims,What is retrieval-augmented generation?,Retrieval-Augmented Generation is a vector database.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_001,insufficient-evidence queries,Who founded RAG?,RAG was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_002,supported factual claims,What is ColBERT?,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_002,unsupported fabricated claims,What is ColBERT?,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT. ColBERT means Collaborative BERT.,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
