id,category,query,retrieval_mode,top_k,retrieved_count,first_relevant_rank,recall_at_k_hit,mrr,evidence_keyword_hit_rate,predicted_answerable,gold_answerable,answerability_retrieval_success,top_chunk_id,top_source,warning
supported_001,supported factual claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
fabricated_001,unsupported fabricated claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
wrong_entity_001,wrong entity claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
wrong_year_001,wrong year/date claims,RAG was introduced in 2021.,hybrid,4,2,1,True,1.0,0.6667,True,False,False,fact_verification_in_large_language_models_8e29ea4c1103_chunk_6,raw/pdf/fact_verification_in_large_language_models.pdf,
numeric_001,unsupported numeric claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
method_001,unsupported method claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
benchmark_001,unsupported benchmark claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
task_001,unsupported application/task claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
definition_mismatch_001,definition mismatch claims,What is retrieval-augmented generation?,hybrid,4,4,1,True,1.0,1.0,True,True,True,rag_basics_1a1553b27ffd_chunk_0,raw/md/rag_basics.md,
insufficient_001,insufficient-evidence queries,Who founded RAG?,hybrid,4,4,1,True,1.0,0.6667,False,False,True,lewis_rag_5840aa4b80b5_chunk_3,raw/pdf/Lewis_RAG.pdf,
supported_002,supported factual claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
