claim,label,evidence
Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,SUPPORTS,
Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,SUPPORTS,
Roman Atwood is a content creator.,SUPPORTS,
Roman Atwood is a content creator.,SUPPORTS,
"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.",SUPPORTS,
Adrienne Bailon is an accountant.,REFUTES,
System of a Down briefly disbanded in limbo.,NOT ENOUGH INFO,
Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,SUPPORTS,
Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,SUPPORTS,
Beautiful reached number two on the Billboard Hot 100 in 2003.,NOT ENOUGH INFO,
Neal Schon was named in 1954.,NOT ENOUGH INFO,
The Boston Celtics play their home games at TD Garden.,SUPPORTS,
The Boston Celtics play their home games at TD Garden.,SUPPORTS,
The Ten Commandments is an epic film.,SUPPORTS,
The Ten Commandments is an epic film.,SUPPORTS,
Tetris has sold millions of physical copies.,SUPPORTS,
Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,SUPPORTS,
There is a movie called The Hunger Games.,SUPPORTS,
There is a movie called The Hunger Games.,SUPPORTS,
There is a movie called The Hunger Games.,SUPPORTS,
There is a movie called The Hunger Games.,SUPPORTS,
Ryan Gosling has been to a country in Africa.,SUPPORTS,
Ryan Gosling has been to a country in Africa.,SUPPORTS,
"Stranger Things is set in Bloomington, Indiana.",REFUTES,
Ryan Seacrest is a person.,SUPPORTS,
Ryan Seacrest is a person.,SUPPORTS,
Ryan Seacrest is a person.,SUPPORTS,
Ryan Seacrest is a person.,SUPPORTS,
Puerto Rico is not an unincorporated territory of the United States.,REFUTES,
Michael Giacchino composed the score for Doctor Strange.,SUPPORTS,
Stranger than Fiction is a film.,SUPPORTS,
Chris Hemsworth appeared in A Perfect Getaway.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
