record_id,category,query,claim_index,claim,gold_label,predicted_label,support_score,rule_flags,rule_categories,nli_label,nli_available
supported_001,supported factual claims,What is retrieval-augmented generation?,1,Retrieval-Augmented Generation combines information retrieval with language generation.,supported,supported,0.96,,,not_run,False
fabricated_001,unsupported fabricated claims,What is retrieval-augmented generation?,1,Retrieval-Augmented Generation combines information retrieval with language generation.,supported,supported,0.96,,,not_run,False
fabricated_001,unsupported fabricated claims,What is retrieval-augmented generation?,2,Retrieval-Augmented Generation is a vector database.,unsupported,unsupported,0.3252,,,not_run,False
wrong_entity_001,wrong entity claims,What is retrieval-augmented generation?,1,RAG was introduced by Omar Khattab and Matei Zaharia in 2020.,unsupported,unsupported,0.3,entity_mismatch_with_evidence,entity_mismatch,not_run,False
wrong_year_001,wrong year/date claims,RAG was introduced in 2021.,1,RAG was introduced in 2021.,unsupported,unsupported,0.2222,numeric_mismatch_with_evidence,numeric_mismatch,not_run,False
numeric_001,unsupported numeric claims,What is retrieval-augmented generation?,1,Retrieval-Augmented Generation combines information retrieval with language generation.,supported,supported,0.96,,,not_run,False
numeric_001,unsupported numeric claims,What is retrieval-augmented generation?,2,RAG requires exactly 100 retrieved passages for each answer.,unsupported,unsupported,0.0327,,,not_run,False
method_001,unsupported method claims,What is retrieval-augmented generation?,1,Retrieval-Augmented Generation combines information retrieval with language generation.,supported,supported,0.96,,,not_run,False
method_001,unsupported method claims,What is retrieval-augmented generation?,2,RAG fine-tunes a generator model on retrieved passages for every query.,unsupported,unsupported,0.0843,fine_tuning_not_in_evidence,unsupported_method_claim,not_run,False
benchmark_001,unsupported benchmark claims,What is retrieval-augmented generation?,1,Retrieval-Augmented Generation combines information retrieval with language generation.,supported,supported,0.96,,,not_run,False
benchmark_001,unsupported benchmark claims,What is retrieval-augmented generation?,2,RAG reports state-of-the-art results on an unsupported private benchmark.,unsupported,unsupported,0.1125,,,not_run,False
